RODADA: 59;hora: 2024-12-01 21:38:54.899555;Rodada: 59;Epsilon: 0.55;Custo: 12036
RODADA: 60;hora: 2024-12-01 21:38:55.798271;Rodada: 60;Epsilon: 0.55;Custo: 16975
RODADA: 61;hora: 2024-12-01 21:38:56.980925;Rodada: 61;Epsilon: 0.54;Custo: 11776
RODADA: 62;hora: 2024-12-01 21:38:57.713787;Rodada: 62;Epsilon: 0.54;Custo: 10174
RODADA: 63;hora: 2024-12-01 21:38:58.345714;Rodada: 63;Epsilon: 0.53;Custo: 10769
RODADA: 64;hora: 2024-12-01 21:38:59.011638;Rodada: 64;Epsilon: 0.53;Custo: 14448
RODADA: 65;hora: 2024-12-01 21:38:59.998729;Rodada: 65;Epsilon: 0.52;Custo: 10723
RODADA: 66;hora: 2024-12-01 21:39:00.632886;Rodada: 66;Epsilon: 0.52;Custo: 16608
RODADA: 67;hora: 2024-12-01 21:41:24.653820;Rodada: 67;Epsilon: 0.51;Custo: 11481
RODADA: 68;hora: 2024-12-01 21:41:25.356705;Rodada: 68;Epsilon: 0.50;Custo: 13492
RODADA: 69;hora: 2024-12-01 21:41:26.127053;Rodada: 69;Epsilon: 0.50;Custo: 11741
RODADA: 70;hora: 2024-12-01 21:41:26.848799;Rodada: 70;Epsilon: 0.49;Custo: 11468
RODADA: 71;hora: 2024-12-01 21:41:27.500515;Rodada: 71;Epsilon: 0.49;Custo: 12363
RODADA: 72;hora: 2024-12-01 21:41:28.160862;Rodada: 72;Epsilon: 0.48;Custo: 14424
RODADA: 73;hora: 2024-12-01 21:41:29.239308;Rodada: 73;Epsilon: 0.48;Custo: 14779
RODADA: 74;hora: 2024-12-01 21:41:30.065168;Rodada: 74;Epsilon: 0.48;Custo: 12212
RODADA: 75;hora: 2024-12-01 21:41:30.962504;Rodada: 75;Epsilon: 0.47;Custo: 14023
RODADA: 76;hora: 2024-12-01 21:41:31.877013;Rodada: 76;Epsilon: 0.47;Custo: 10445
RODADA: 77;hora: 2024-12-01 21:41:32.392177;Rodada: 77;Epsilon: 0.46;Custo: 13339
RODADA: 78;hora: 2024-12-01 21:41:33.066957;Rodada: 78;Epsilon: 0.46;Custo: 15124
RODADA: 79;hora: 2024-12-01 21:41:33.933360;Rodada: 79;Epsilon: 0.45;Custo: 13279
RODADA: 80;hora: 2024-12-01 21:41:34.919728;Rodada: 80;Epsilon: 0.45;Custo: 11016
RODADA: 81;hora: 2024-12-01 21:41:35.659513;Rodada: 81;Epsilon: 0.44;Custo: 11289
RODADA: 82;hora: 2024-12-01 21:41:36.236257;Rodada: 82;Epsilon: 0.44;Custo: 11332
RODADA: 83;hora: 2024-12-01 21:41:36.978216;Rodada: 83;Epsilon: 0.43;Custo: 10757
RODADA: 84;hora: 2024-12-01 21:41:37.547098;Rodada: 84;Epsilon: 0.43;Custo: 11053
RODADA: 85;hora: 2024-12-01 21:41:38.233476;Rodada: 85;Epsilon: 0.43;Custo: 9295
RODADA: 86;hora: 2024-12-01 21:41:38.747376;Rodada: 86;Epsilon: 0.42;Custo: 11603
RODADA: 87;hora: 2024-12-01 21:41:39.541987;Rodada: 87;Epsilon: 0.42;Custo: 10862
RODADA: 88;hora: 2024-12-01 21:41:40.475358;Rodada: 88;Epsilon: 0.41;Custo: 13330
RODADA: 89;hora: 2024-12-01 21:41:41.625102;Rodada: 89;Epsilon: 0.41;Custo: 15195
RODADA: 90;hora: 2024-12-01 21:44:04.419479;Rodada: 90;Epsilon: 0.40;Custo: 11950
RODADA: 91;hora: 2024-12-01 21:44:05.456135;Rodada: 91;Epsilon: 0.40;Custo: 11370
RODADA: 92;hora: 2024-12-01 21:44:06.242926;Rodada: 92;Epsilon: 0.40;Custo: 10749
RODADA: 93;hora: 2024-12-01 21:44:06.943798;Rodada: 93;Epsilon: 0.39;Custo: 11504
RODADA: 94;hora: 2024-12-01 21:44:07.657617;Rodada: 94;Epsilon: 0.39;Custo: 10363
RODADA: 95;hora: 2024-12-01 21:44:08.232943;Rodada: 95;Epsilon: 0.38;Custo: 12667
RODADA: 96;hora: 2024-12-01 21:44:09.004778;Rodada: 96;Epsilon: 0.38;Custo: 9350
RODADA: 97;hora: 2024-12-01 21:44:09.790096;Rodada: 97;Epsilon: 0.38;Custo: 9566
RODADA: 98;hora: 2024-12-01 21:44:10.478141;Rodada: 98;Epsilon: 0.37;Custo: 9286
RODADA: 99;hora: 2024-12-01 21:44:11.079005;Rodada: 99;Epsilon: 0.37;Custo: 10856
RODADA: 100;hora: 2024-12-01 21:44:11.703145;Rodada: 100;Epsilon: 0.37;Custo: 8606
